publisher	country
National University of Distance Education	Spain
Al-Farabi Kazakh National University	Kazakhstan
Motor Presse Stuttgart	Germany
Altberliner Verlag	Germany
Prentice Hall	United States of America
Ernst Eulenburg	Germany
Asahi Shimbun Company	Japan
Alyson Books	United States of America
Ullstein Verlag	Germany
Amadeu Antonio Foundation	Germany
Amalgam Comics	United States of America
Amalthea Signum Verlag	Austria
Imagic	United States of America
Q458942	Hungary
University of Defence	Czech Republic
Wiley-VCH	Germany
BioMed Central	United Kingdom
American Bible Society	United States of America
American Economic Association	United States of America
Bibliographisches Institut & F. A. Brockhaus	Germany
American Heart Association	United States of America
American Institute of Physics	United States of America
American Mathematical Society	United States of America
American Medical Association	United States of America
American Psychological Association	United States of America
Association for Information Science and Technology	United States of America
American Society of Hematology	United States of America
American Statistical Association	United States of America
G. Henle Verlag	Germany
Vorwärts	Germany
Amigo Spiele	Germany
Two Plus Two Publishing	United States of America
Ammann Verlag	Switzerland
Gruner + Jahr	Germany
S. Fischer Verlag	Germany
Daewon C.I.	South Korea
NCsoft	South Korea
Anaconda Verlag	Germany
Billboard	United States of America
Andiamo Verlag	Germany
Sierra Entertainment	United States of America
Korea Institute for International Economic Policy	South Korea
International AIDS Society	Switzerland
Weekly World News	United States of America
University of Stavanger	Norway
Fantasy Games Unlimited	United States of America
Hasbro	United States of America
Johnson Matthey	United Kingdom
Federal Ministry of the Interior, Building and Community	Germany
Valiant Comics	United States of America
Days of Wonder	United States of America
Pony Canyon	Japan
European Food Safety Authority	Italy
Pantheon Books	United States of America
Media Factory	Japan
Beholder Kft.	Hungary
Passagen Verlag	Austria
Q526522	Spain
Houghton Mifflin Harcourt	United States of America
Incentive Software	United Kingdom
Agenzia delle entrate	Italy
AiB Verlag	Germany
Majesco Entertainment	United States of America
Aisthesis Verlag	Germany
Akademie-Verlag	Germany
Akademische Arbeitsgemeinschaft	Germany
Akita Shoten	Japan
Carlsen Verlag	Denmark
ADAC	Germany
AG SPAK Bücher	Germany
AMA Verlag	Germany
AOL-Verlag	Germany
ASCII Media Works	Japan
Önel Verlag	Germany
AS Verlag	Switzerland
AT Verlag	Switzerland
Augemus Musikverlag	Germany
Austrian Bible Society	Austria
Suhrkamp Verlag	Germany
Abacusspiele	Germany
Abant Izzet Baysal University	Turkey
Österreichischer Agrarverlag	Austria
Österreichischer Bundesverlag für Unterricht, Wissenschaft und Kunst	Austria
Enterbrain	Japan
Gideons International	United States of America
Bibliographisches Institut	Germany
Tokyopop	Germany
Insel Verlag	Germany
Franz Eher Nachfolger	Germany
Duncker & Humblot	Germany
Monumenta Germaniae Historica	Germany
Aufbau-Verlag	Germany
Max Planck Institute for the History of Science	Germany
Abenteuer Medien Verlag	Germany
Bruno Gmünder Verlag	Germany
K. G. Saur Verlag	Germany
Steidl	Germany
Frankfurter Rundschau	Germany
Männerschwarm Verlag	Germany
Sony Music Publishing (US), LLC	United States of America
İletişim Yayınları	Turkey
Action Verlag	Germany
Addison-Wesley	Germany
