google.com	United States of America
fcc.gov	United States of America
insee.fr	France
archive.org	United States of America
culture.gouv.fr	France
nps.gov	United States of America
bbc.co.uk	United Kingdom
nationaltrust.org.uk	United Kingdom
census.gov	United States of America
washington.edu	United States of America
blogspot.com	Spain
gva.es	Spain
unesco.org	France
state.or.us	United States of America
stat.gov.pl	Poland
admin.ch	Switzerland
stats.gov.cn	China
mcu.es	Spain
cuny.edu	United States of America
usgs.gov	United States of America
stadt-koeln.de	Germany
allahabad.nic.in	India
maryland.gov	United States of America
nga.mil	United States of America
az.gov	United States of America
ac.gov.br	Brazil
uiuc.edu	United States of America
wiltshiremuseum.org.uk	United Kingdom
massongex.ch	Switzerland
free.fr	France
villageoflougheed.com	Canada
ibm.com	United States of America
