australian indian ocean territories	Australian Indian Ocean Territories
bonaire, saint eustatius and saba	Bonaire, Saint Eustatius and Saba
curaçao	Curaçao
guadeloupe	Guadeloupe
martinique	Martinique
montserrat	Montserrat
saint barthélemy	Saint Barthélemy
saint martin	Saint Martin
sint maarten	Sint Maarten
united states virgin islands	United States Virgin Islands
british indian ocean territory	British Indian Ocean Territory
comoros	Comoros
djibouti	Djibouti
eritrea	Eritrea
mayotte	Mayotte
federated states of micronesia	Federated States of Micronesia
marshall islands	Marshall Islands
palau	Palau
central african republic	Central African Republic
chad	Chad
equatorial guinea	Equatorial Guinea
gabon	Gabon
saint pierre and miquelon	Saint Pierre and Miquelon
england	England
northern ireland	Northern Ireland
scotland	Scotland
wales	Wales
american samoa	American Samoa
niue	Niue
pitcairn islands	Pitcairn Islands
samoa	Samoa
tokelau	Tokelau
tuvalu	Tuvalu
french guiana	French Guiana
suriname	Suriname
guinea-bissau	Guinea-Bissau
lesotho	Lesotho
liberia	Liberia
sierra leone	Sierra Leone
andorra	Andorra
kosovo	Kosovo
bouvet island	Bouvet Island
united states minor outlying islands	United States Minor Outlying Islands
wallis and futuna	Wallis and Futuna
western sahara	Western Sahara
madeira	Madeira
azores	Azores
barbuda	Antigua and Barbuda
antigua	Antigua and Barbuda
ashmore and cartier islands	Australia
coral sea islands	Australia
heard island and mcdonald islands	Australia
christmas island	Australian Indian Ocean Territories
cocos (keeling) islands	Australian Indian Ocean Territories
flemish brabant	Belgium
walloon brabant	Belgium
brussels-capital region	Belgium
bonaire	Bonaire, Saint Eustatius and Saba
sint eustatius	Bonaire, Saint Eustatius and Saba
saba	Bonaire, Saint Eustatius and Saba
federation of bosnia and herzegovina	Bosnia and Herzegovina
republika srpska	Bosnia and Herzegovnia
brčko district	Bosnia and Herzegovnia
diego garcia	British Indian Ocean Territory
three brothers islands	British Indian Ocean Territory
egmont islands	British Indian Ocean Territory
nelson island	British Indian Ocean Territory
peros banhos	British Indian Ocean Territory
eagle islands	British Indian Ocean Territory
saloman islands	British Indian Ocean Territory
danger islands	British Indian Ocean Territory
french fifth republic	France
adjara	Georgia
jan mayen	Norway
svalbard	Norway
svalbard and jan mayen	Norway
west bank	Palestine
gaza strip	Palestine
bougainville	Papau New Guinea
baikonur	Russia
saint helena	Saint Helena, Ascension and Tristan da Cunha
ascension	Saint Helena, Ascension and Tristan da Cunha
tristan da cunha	Saint Helena, Ascension and Tristan da Cunha
vojvodina	Serbia
puntland	Somalia
somaliland	Somalia
sixth republic of south korea	South Korea
zanzibar	Tanzania
baker island	United States Minor Outlying Islands
howland island	United States Minor Outlying Islands
jarvis island	United States Minor Outlying Islands
johnston atoll	United States Minor Outlying Islands
kingman reef	United States Minor Outlying Islands
midway atoll	United States Minor Outlying Islands
palmyra atoll	United States Minor Outlying Islands
wake island	United States Minor Outlying Islands
navassa island	United States Minor Outlying Islands
sahrawi arab democratic republic	Western Sahara
usa	United States of America
